condition_id,condition_name,what_to_do,what_to_avoid,diet_recommendation,food_to_limit,home_care,monitoring_advice
D0105,Chronic Constipation with Anal Fissure,"Use prescribed stool softeners and topical healing ointments.","Avoid passing hard stools and aggressive wiping.","High-fiber soft diet with abundant water intake.","Dry, spicy, and rough-textured foods.","Take warm sitz baths after bowel movements to relax the anal sphincter.","Monitor bleeding during defecation; seek surgical or medical evaluation if healing stalls."
D0106,Gallstones (Cholelithiasis),"Eat smaller and balanced low-fat meals; follow surgeon guidance.","Avoid crash dieting and skipping meals which worsen gallbladder stasis.","Fiber-rich foods, oats, vegetables, and lean proteins.","Fried items, creamy gravies, full-fat dairy, and trans fats.","Maintain a healthy weight through gradual weight loss.","Seek emergency care if severe right upper quadrant pain radiates to the shoulder with fever or jaundice."
D0107,Celiac Disease,"Follow a strict lifelong 100% gluten-free diet.","Avoid even trace amounts of wheat, rye, barley, and contaminated oats.","Naturally gluten-free grains (rice, millets, quinoa, corn) and fresh produce.","Wheat, maida, sooji, hing (compounded with wheat), and processed gravies.","Check food labels diligently and use separate cookware to prevent cross-contamination.","Monitor antibody levels (anti-tTG) and nutrient absorption (iron, calcium) annually."
D0108,Lactose Intolerance,"Switch to plant-based milk or lactose-free dairy alternatives.","Avoid consuming large quantities of milk or fresh cream directly.","Lactose-free milk, fortified almond/soy milk, hard aged cheeses, and yogurt.","Cow's milk, ice cream, paneer in large quantities, and soft cheeses.","Use lactase enzyme drops/tablets if consuming dairy; introduce fermented dairy gradually.","Ensure adequate calcium and vitamin D intake from non-dairy or fortified sources."
D0109,Ankylosing Spondylitis,"Maintain daily posture exercises and take prescribed anti-inflammatory therapy.","Avoid smoking and prolonged static sitting or stooping.","Anti-inflammatory diet rich in omega-3 and antioxidants.","Excess processed foods, refined sugars, and inflammatory fats.","Sleep on a firm mattress with minimal pillow support; practice daily spinal stretches.","Track spinal mobility, chest expansion, and morning stiffness duration with a rheumatologist."
D0110,Carpal Tunnel Syndrome,"Wear a wrist splint at night and take frequent ergonomic breaks.","Avoid repetitive wrist flexion, heavy gripping, and awkward wrist postures.","Balanced diet; vitamin B6-rich foods under guidance.","Excess sodium which may promote fluid retention.","Apply cold packs during flare-ups; adjust keyboard and workstation ergonomics.","Seek medical review if there is progressive thumb weakness, numbness, or loss of hand grip."
D0111,Plantar Fasciitis,"Perform calf and plantar fascia stretching exercises daily.","Avoid walking barefoot on hard floors and wearing worn-out, unsupportive footwear.","Balanced nutrient-dense diet to assist weight management.","No specific restriction beyond maintaining healthy weight.","Use supportive orthotic footwear with cushioned heels; roll a frozen water bottle under the foot.","Monitor first-step morning heel pain; consult an orthopedist if pain persists beyond 6 weeks."
D0112,Bell's Palsy,"Protect the affected eye with lubricating drops and eye patches; take prescribed steroids promptly.","Avoid exposing the affected facial side to direct cold drafts.","Soft, easy-to-chew foods to prevent cheek biting.","Hard or chewy foods during active paralysis.","Perform gentle facial massage and facial muscle exercises as function returns.","Monitor eye closure and cornea hydration; review with a neurologist for recovery progress."
D0113,Vertigo (BPPV / Benign Paroxysmal Positional Vertigo),"Perform repositioning maneuvers (such as Epley maneuver) under clinical guidance.","Avoid sudden head movements, looking upward rapidly, or bending forward quickly.","Stay well-hydrated; balanced light meals.","Excess salt, caffeine, and alcohol.","Keep rooms well lit; install grab bars and move slowly when getting out of bed.","Seek immediate care if vertigo is accompanied by double vision, speech difficulty, or weakness."
D0114,Dry Eye Syndrome,"Use preservative-free artificial tears and follow the 20-20-20 screen rule.","Avoid direct air vents blowing on eyes, smoky environments, and prolonged unblinked screen time.","Omega-3 fatty acid rich foods (flaxseeds, walnuts, chia seeds).","No specific restriction.","Use a room humidifier and apply warm compresses to eyelids daily.","Follow up with an eye specialist if redness, severe gritty pain, or vision blurriness develops."
D0115,Blepharitis,"Practice strict daily eyelid hygiene using warm diluted baby shampoo or lid scrubs.","Avoid eye makeup and wearing contact lenses during active inflammation.","Balanced anti-inflammatory diet.","No specific restriction.","Apply warm compresses to closed eyes for 5-10 minutes twice daily to loosen secretions.","Monitor for stye formation, corneal irritation, or spreading redness to the eye."
D0116,Acne Vulgaris,"Cleanse face gently twice daily with a mild foaming wash and use prescribed topical treatments.","Avoid picking, popping, or squeezing pimples, and avoid harsh abrasive scrubs.","Low glycemic index foods, abundant water, and fresh vegetables.","High glycemic foods, excessive sugary drinks, and skim milk/whey protein supplements.","Use non-comedogenic sunscreen and moisturizers; change pillowcases regularly.","Monitor skin barrier health; consult a dermatologist if painful cystic lesions or scarring occur."
D0117,Urticaria (Hives),"Identify and avoid known physical or allergen triggers; take prescribed antihistamines.","Avoid hot baths, tight-fitting clothes, alcohol, and unverified NSAIDs.","Fresh whole foods; low-histamine diet if specific sensitivity exists.","Alcohol, aged cheeses, shellfish, or suspected allergen-heavy foods.","Apply cool compresses and calamine lotion to soothe itching skin.","Seek emergency medical attention immediately if swelling involves lips, tongue, throat, or breathing."
D0118,Contact Dermatitis,"Identify and discontinue exposure to the offending irritant or chemical allergen.","Avoid scratching the rash or applying strong unverified perfumed creams.","Balanced diet; adequate hydration.","No specific restriction.","Wash exposed skin immediately with mild soap and water; apply cool wet compresses.","Follow up if rash covers large body areas, blisters blister heavily, or signs of secondary infection appear."
D0119,Iron Overload (Hemochromatosis),"Undergo therapeutic phlebotomy as scheduled and monitor ferritin levels.","Avoid taking iron or vitamin C supplements, raw seafood, and alcohol.","Balanced diet without iron-fortified cereals or excessive red meat.","Iron-rich red meats, organ meats, alcohol, and vitamin C supplements with meals.","Maintain a health log of phlebotomy sessions and energy levels.","Regularly test serum ferritin and transferrin saturation to guide therapy."
D0120,Varicose Veins,"Wear graduated compression stockings and elevate legs above heart level when resting.","Avoid prolonged standing or sitting, crossing legs, and wearing tight waistbands.","High-fiber diet to prevent constipation, low-sodium meals to reduce leg edema.","Excess sodium and processed foods.","Engage in daily walking and ankle pump exercises to promote venous return.","Seek medical attention if leg skin becomes hardened, discolored, or forms open ulcers."
D0121,Peripheral Neuropathy,"Manage underlying blood sugars diligently and inspect feet daily for injuries.","Avoid walking barefoot, smoking, and wearing tight or ill-fitting shoes.","Vitamin B12 and folate-rich foods, antioxidant-rich fruits and vegetables.","Alcohol and high refined carbohydrates.","Keep feet clean, moisturized (except between toes), and use cushioned socks.","Schedule regular diabetic foot screenings and sensory evaluations with a clinician."
D0122,Gastroenteritis (Viral),"Rest the bowel, drink oral rehydration salts (ORS), and reintroduce bland food slowly.","Avoid dairy, spicy dishes, caffeine, and over-the-counter anti-motility drugs unless prescribed.","Dilute broths, rice water, khichdi, banana, and ORS.","Oily dishes, dairy products, carbonated beverages, and raw vegetables.","Wash hands thoroughly with soap; sanitize shared surfaces and isolate utensils.","Seek hospital care if vomiting prevents fluid retention or if signs of severe dehydration develop."
D0123,Frozen Shoulder (Adhesive Capsulitis),"Perform gentle pendulum and passive stretching exercises within pain-free limits.","Avoid sudden aggressive jerking of the arm and completely immobilizing the shoulder.","Anti-inflammatory diet rich in antioxidants.","Excess refined sugar and processed foods.","Apply moist heat before stretching exercises and cold packs post-exercise.","Track passive range of motion with a physiotherapist; consult an orthopedist for persistent stiffness."
D0124,Oral Aphthous Ulcers (Canker Sores),"Use antiseptic/anesthetic oral gels and maintain gentle oral hygiene.","Avoid very hot, spicy, salty, or sharp hard-textured foods.","Soft, cool foods like curd, fruit smoothies, and mild soups.","Spicy chilies, citrus fruits, pineapple, and salty potato chips.","Rinse mouth with salt water; use a soft-bristle toothbrush.","Consult a doctor if ulcers exceed 1 cm, persist past 2 weeks, or cause severe difficulty eating."
D0125,Chronic Pharyngitis,"Stay well-hydrated, rest the voice, and use warm saline gargles.","Avoid smoking, exposure to secondhand smoke, dust, and shouting/voice strain.","Warm herbal teas with honey, warm broths, and soft foods.","Very cold drinks, excessively sour foods, and throat irritants.","Use a cool mist bedroom humidifier; avoid mouth breathing where possible.","Seek evaluation if sore throat is accompanied by high fever, difficulty swallowing, or neck swelling."
