symptom_id,symptom_name,symptom_name_hi,symptom_name_gu,body_system,symptom_category,severity_level,emergency_flag,common_in_children,common_in_adults,common_in_elderly,description,source
S000122,"Nail Changes (Color, Shape, Texture)",नाखूनों में बदलाव,નખમાં ફેરફાર,Skin,Skin,Low,No,No,Yes,Yes,"Changes in the color, thickness, or shape of the nails.",Draft - pending clinical review
S000123,Severe Allergic Skin Swelling (Angioedema),एलर्जी से चेहरे/होंठ में गंभीर सूजन,એલર્જીથી ચહેરા/હોઠમાં ગંભીર સોજો,Skin,Skin,High,Yes,Yes,Yes,Yes,"Sudden, severe swelling under the skin, often around the face or lips, from a severe allergic reaction.",Draft - pending clinical review
S000124,Fungal Skin Infection Signs (Ring-shaped Rash),फंगल संक्रमण के लक्षण (गोल आकार के दाने),ફૂગના ચેપના ચિહ્નો (ગોળાકાર ચકામા),Skin,Skin,Low,No,Yes,Yes,Yes,"A ring-shaped, itchy rash typical of a fungal skin infection.",Draft - pending clinical review
S000125,Itching Worse at Night (Possible Scabies),रात में बढ़ने वाली खुजली,રાત્રે વધતી ખંજવાળ,Skin,Skin,Low,No,Yes,Yes,Yes,"Intense itching that worsens at night, which can suggest a scabies infestation.",Draft - pending clinical review
S000126,Skin Ulcers,त्वचा में गहरे घाव,ત્વચામાં ઊંડા ચાંદા,Skin,Skin,Medium,No,No,No,Yes,Open sores on the skin that fail to heal normally.,Draft - pending clinical review
S000127,Petechiae (Small Red or Purple Spots),त्वचा पर छोटे लाल/बैंगनी धब्बे,ત્વચા પર નાના લાલ/જાંબલી ટપકાં,Skin,Skin,High,Yes,No,Yes,Yes,"Tiny, pinpoint red or purple spots on the skin that can indicate a bleeding or platelet problem.",Draft - pending clinical review
S000128,Severe Burns,गंभीर जलन,ગંભીર દાઝવું,Skin,Skin,High,Yes,Yes,Yes,Yes,Deep or extensive burns that need urgent medical care.,Draft - pending clinical review
S000129,Wound Not Healing,घाव न भरना,ઘા ન રૂઝાવો,Skin,Skin,Medium,No,No,No,Yes,"A cut or wound that fails to heal within the expected time, especially relevant in diabetes.",Draft - pending clinical review
S000130,"Redness, Warmth, and Swelling of Skin (Cellulitis Signs)","त्वचा में लालिमा, गर्माहट और सूजन","ત્વચામાં લાલાશ, ગરમાવો અને સોજો",Skin,Skin,High,Yes,No,Yes,Yes,"Spreading redness, warmth, and swelling of the skin that can indicate a bacterial skin infection.",Draft - pending clinical review
S000131,Joint Pain,जोड़ों में दर्द,સાંધામાં દુખાવો,Musculoskeletal,Musculoskeletal,Low,No,Yes,Yes,Yes,Pain in one or more joints of the body.,Draft - pending clinical review
S000132,Joint Swelling,जोड़ों में सूजन,સાંધામાં સોજો,Musculoskeletal,Musculoskeletal,Medium,No,No,Yes,Yes,Visible enlargement or puffiness of a joint.,Draft - pending clinical review
S000133,Muscle Pain,मांसपेशियों में दर्द,સ્નાયુમાં દુખાવો,Musculoskeletal,Musculoskeletal,Low,No,Yes,Yes,Yes,"Pain in the muscles, which can result from strain, tension, or illness.",Draft - pending clinical review
S000134,Muscle Weakness,मांसपेशियों की कमजोरी,સ્નાયુની નબળાઈ,Musculoskeletal,Musculoskeletal,Medium,No,No,Yes,Yes,Reduced strength in one or more muscle groups.,Draft - pending clinical review
S000135,Back Pain,कमर दर्द,કમરનો દુખાવો,Musculoskeletal,Musculoskeletal,Low,No,No,Yes,Yes,"Pain anywhere along the spine, from the neck to the lower back.",Draft - pending clinical review
S000136,Neck Pain,गर्दन में दर्द,ગરદનમાં દુખાવો,Musculoskeletal,Musculoskeletal,Low,No,No,Yes,Yes,Discomfort or stiffness in the neck region.,Draft - pending clinical review
S000137,Muscle Cramps,मांसपेशियों में ऐंठन,સ્નાયુમાં ખેંચાણ,Musculoskeletal,Musculoskeletal,Low,No,No,Yes,Yes,"Sudden, involuntary tightening of a muscle.",Draft - pending clinical review
S000138,Morning Joint Stiffness,सुबह जोड़ों में अकड़न,સવારે સાંધામાં જકડાટ,Musculoskeletal,Musculoskeletal,Low,No,No,Yes,Yes,Stiffness in the joints that is most noticeable after waking up.,Draft - pending clinical review
S000139,Limited Range of Motion,जोड़ों की गति सीमित होना,સાંધાની હલનચલન મર્યાદિત થવી,Musculoskeletal,Musculoskeletal,Medium,No,No,Yes,Yes,Difficulty moving a joint through its normal full range.,Draft - pending clinical review
S000140,Bone Pain,हड्डी में दर्द,હાડકામાં દુખાવો,Musculoskeletal,Musculoskeletal,Medium,No,No,Yes,Yes,"Deep, persistent pain felt in the bones rather than muscles or joints.",Draft - pending clinical review
S000141,Muscle Spasms,मांसपेशियों में ऐंठन का दौरा,સ્નાયુમાં ખેંચાણનો હુમલો,Musculoskeletal,Musculoskeletal,Low,No,No,Yes,Yes,"Sudden, involuntary muscle contractions.",Draft - pending clinical review
S000142,Difficulty Walking,चलने में कठिनाई,ચાલવામાં તકલીફ,Musculoskeletal,Musculoskeletal,Medium,No,No,Yes,Yes,"Trouble walking normally due to pain, weakness, or balance issues.",Draft - pending clinical review
S000143,Swelling in a Single Joint with Redness and Warmth,"एक जोड़ में सूजन, लालिमा और गर्माहट","એક સાંધામાં સોજો, લાલાશ અને ગરમાવો",Musculoskeletal,Musculoskeletal,High,Yes,No,Yes,Yes,"A single hot, swollen, red joint can indicate infection and needs urgent evaluation.",Draft - pending clinical review
S000144,Lower Back Pain Radiating to Leg (Sciatica),कमर से पैर तक फैलने वाला दर्द,કમરથી પગ સુધી ફેલાતો દુખાવો,Musculoskeletal,Musculoskeletal,Medium,No,No,Yes,Yes,"Pain that travels from the lower back down one leg, often from nerve compression.",Draft - pending clinical review
S000145,Muscle Wasting,मांसपेशियों का घटना,સ્નાયુ ઘટવા,Musculoskeletal,Musculoskeletal,Medium,No,No,No,Yes,Noticeable loss of muscle bulk over time.,Draft - pending clinical review
S000146,Inability to Bear Weight After Injury,चोट के बाद वजन न सह पाना,ઈજા પછી વજન સહન ન કરી શકવું,Musculoskeletal,Musculoskeletal,High,Yes,No,Yes,Yes,"Being unable to stand or put weight on a limb after an injury, suggesting a possible fracture.",Draft - pending clinical review
S000147,Growing Pains in Children,बच्चों में बढ़ने के दौरान दर्द,બાળકોમાં વૃદ્ધિ દરમિયાન દુખાવો,Musculoskeletal,Musculoskeletal,Low,No,Yes,No,No,"Aches in the legs of children, usually in the evening, without an underlying disease.",Draft - pending clinical review
S000148,Joint Deformity,जोड़ों की बनावट बिगड़ना,સાંધાનો આકાર બગડવો,Musculoskeletal,Musculoskeletal,Medium,No,No,No,Yes,A visible change in the normal shape or alignment of a joint.,Draft - pending clinical review
S000149,Persistent Sadness,लगातार उदासी महसूस होना,સતત ઉદાસી અનુભવવી,Mental Health,Mental Health,Medium,No,Yes,Yes,Yes,A prolonged feeling of low mood that does not lift with time.,Draft - pending clinical review
S000150,Excessive Anxiety or Worry,अत्यधिक चिंता होना,વધુ પડતી ચિંતા થવી,Mental Health,Mental Health,Medium,No,Yes,Yes,Yes,"Ongoing, excessive worry that is hard to control and affects daily life.",Draft - pending clinical review
S000151,Panic Attacks,घबराहट का अचानक दौरा,અચાનક ગભરાટનો હુમલો,Mental Health,Mental Health,Medium,No,No,Yes,Yes,Sudden episodes of intense fear with physical symptoms like a racing heart and breathlessness.,Draft - pending clinical review
S000152,Difficulty Sleeping (Insomnia),नींद न आना,ઊંઘ ન આવવી,Mental Health,Mental Health,Low,No,Yes,Yes,Yes,"Trouble falling asleep, staying asleep, or getting restful sleep.",Draft - pending clinical review
S000153,Excessive Sleepiness,अत्यधिक नींद आना,વધુ પડતી ઊંઘ આવવી,Mental Health,Mental Health,Low,No,Yes,Yes,Yes,Feeling unusually drowsy or needing more sleep than normal.,Draft - pending clinical review
S000154,Irritability,चिड़चिड़ापन,ચીડિયાપણું,Mental Health,Mental Health,Low,No,Yes,Yes,Yes,Being easily annoyed or frustrated more than usual.,Draft - pending clinical review
S000155,Mood Swings,मूड में उतार-चढ़ाव,મૂડમાં ચડાવ-ઉતાર,Mental Health,Mental Health,Low,No,Yes,Yes,Yes,Rapid or intense changes in emotional state.,Draft - pending clinical review
S000156,Social Withdrawal,लोगों से दूरी बनाना,લોકોથી દૂર રહેવું,Mental Health,Mental Health,Medium,No,Yes,Yes,Yes,Avoiding social interaction or pulling away from friends and family.,Draft - pending clinical review
S000157,Difficulty Concentrating,ध्यान केंद्रित करने में कठिनाई,ધ્યાન કેન્દ્રિત કરવામાં તકલીફ,Mental Health,Mental Health,Low,No,Yes,Yes,Yes,Trouble focusing on tasks or conversations.,Draft - pending clinical review
S000158,Loss of Interest in Activities,पसंदीदा कामों में रुचि खत्म होना,ગમતાં કામોમાં રસ ન રહેવો,Mental Health,Mental Health,Medium,No,Yes,Yes,Yes,No longer finding pleasure in activities that were previously enjoyable.,Draft - pending clinical review
S000159,Feelings of Hopelessness,निराशा महसूस होना,નિરાશા અનુભવવી,Mental Health,Mental Health,Medium,No,Yes,Yes,Yes,A persistent sense that things will not improve.,Draft - pending clinical review
S000160,Suicidal Thoughts,आत्महत्या के विचार आना,આત્મહત્યાના વિચારો આવવા,Mental Health,Mental Health,High,Yes,Yes,Yes,Yes,Thoughts of ending one's own life — always requires immediate support and professional help.,Draft - pending clinical review
S000161,Racing Thoughts,विचारों का तेज़ी से आना,વિચારો ઝડપથી આવવા,Mental Health,Mental Health,Medium,No,No,Yes,Yes,Thoughts that move rapidly and feel difficult to slow down or control.,Draft - pending clinical review
S000162,Hallucinations,भ्रम में चीज़ें दिखना या सुनना,ભ્રમમાં વસ્તુઓ દેખાવી કે સંભળાવી,Mental Health,Mental Health,High,Yes,No,Yes,Yes,"Sensing things — seeing, hearing, or feeling — that are not actually present.",Draft - pending clinical review
S000163,Excessive Fear or Phobia,अत्यधिक डर लगना,વધુ પડતો ડર લાગવો,Mental Health,Mental Health,Medium,No,No,Yes,Yes,"An intense, persistent fear of a specific situation or object that is out of proportion to actual risk.",Draft - pending clinical review
S000164,Restlessness,बेचैनी,બેચેની,Mental Health,Mental Health,Low,No,Yes,Yes,Yes,A feeling of being unable to stay still or relaxed.,Draft - pending clinical review
S000165,Aggressive Behavior,आक्रामक व्यवहार,આક્રમક વર્તન,Mental Health,Mental Health,Medium,No,Yes,Yes,Yes,Unusually hostile or forceful behavior toward others or objects.,Draft - pending clinical review
S000166,Self-Harm Behavior,खुद को नुकसान पहुंचाने की प्रवृत्ति,પોતાને નુકસાન પહોંચાડવાની વૃત્તિ,Mental Health,Mental Health,High,Yes,Yes,Yes,Yes,Deliberately hurting oneself — always needs immediate professional support.,Draft - pending clinical review
S000167,Ear Pain,कान में दर्द,કાનમાં દુખાવો,ENT,ENT,Medium,No,Yes,Yes,Yes,"Pain felt in or around the ear, often from infection or pressure changes.",Draft - pending clinical review
S000168,Hearing Loss,सुनने की क्षमता कम होना,સાંભળવાની ક્ષમતા ઓછી થવી,ENT,ENT,Medium,No,No,Yes,Yes,A partial or complete reduction in the ability to hear.,Draft - pending clinical review
S000169,Ringing in Ears (Tinnitus),कानों में सीटी या घंटी बजना,કાનમાં સીટી કે ઘંટડી વાગવી,ENT,ENT,Low,No,No,Yes,Yes,"A perceived ringing, buzzing, or hissing sound in the ears without an external source.",Draft - pending clinical review
S000170,Ear Discharge,कान से पानी/मवाद आना,કાનમાંથી પ્રવાહી/પરુ નીકળવું,ENT,ENT,Medium,No,Yes,Yes,Yes,"Fluid or pus draining from the ear, often signaling infection.",Draft - pending clinical review
S000171,Nasal Blockage,नाक में रुकावट,નાકમાં અવરોધ,ENT,ENT,Low,No,Yes,Yes,Yes,A feeling of stuffiness or obstruction in the nasal passages.,Draft - pending clinical review
S000172,Nosebleed,नाक से खून आना,નાકમાંથી લોહી નીકળવું,ENT,ENT,Low,No,Yes,Yes,Yes,"Bleeding from the nose, usually from a minor blood vessel injury.",Draft - pending clinical review
S000173,Loss of Taste,स्वाद महसूस न होना,સ્વાદ ન અનુભવાવો,ENT,ENT,Low,No,No,Yes,Yes,Reduced or absent ability to taste food.,Draft - pending clinical review
S000174,Swollen Tonsils,टॉन्सिल में सूजन,કાકડામાં સોજો,ENT,ENT,Medium,No,Yes,Yes,No,"Enlarged, often red and painful tonsils, usually from infection.",Draft - pending clinical review
S000175,Bad Breath (Halitosis),मुंह से बदबू आना,મોંમાંથી દુર્ગંધ આવવી,ENT,ENT,Low,No,Yes,Yes,Yes,Persistent unpleasant breath odor.,Draft - pending clinical review
S000176,Post-Nasal Drip,गले में बलगम टपकना,ગળામાં કફ ટપકવો,ENT,ENT,Low,No,Yes,Yes,Yes,Mucus draining down the back of the throat from the nasal passages.,Draft - pending clinical review
S000177,Ear Fullness or Blocked Sensation,कान भरा हुआ महसूस होना,કાન ભરાયેલો લાગવો,ENT,ENT,Low,No,Yes,Yes,Yes,A sensation of pressure or blockage inside the ear.,Draft - pending clinical review
S000178,Throat Swelling,गले में सूजन,ગળામાં સોજો,ENT,ENT,High,Yes,Yes,Yes,Yes,Swelling in the throat that can affect breathing or swallowing — needs urgent attention if severe.,Draft - pending clinical review
S000179,Difficulty Opening Mouth,मुंह खोलने में कठिनाई,મોં ખોલવામાં તકલીફ,ENT,ENT,Medium,No,No,Yes,Yes,Restricted or painful jaw movement when trying to open the mouth.,Draft - pending clinical review
S000180,Foreign Body Sensation in Throat,गले में कुछ अटका होने जैसा महसूस होना,ગળામાં કંઈક ફસાયું હોય તેવું લાગવું,ENT,ENT,Medium,No,No,Yes,Yes,A persistent feeling that something is lodged in the throat.,Draft - pending clinical review
S000181,Irregular Periods,अनियमित मासिक धर्म,અનિયમિત માસિક,Women's Health,Women's Health,Low,No,No,Yes,No,Menstrual cycles that vary significantly in length or timing.,Draft - pending clinical review
S000182,Heavy Menstrual Bleeding,भारी मासिक रक्तस्राव,ભારે માસિક રક્તસ્રાવ,Women's Health,Women's Health,Medium,No,No,Yes,No,Menstrual bleeding that is unusually heavy or prolonged.,Draft - pending clinical review
S000183,Painful Periods (Dysmenorrhea),मासिक धर्म में दर्द,માસિકમાં દુખાવો,Women's Health,Women's Health,Low,No,No,Yes,No,Cramping pain in the lower abdomen during menstruation.,Draft - pending clinical review
S000184,Missed Period,मासिक धर्म का न आना,માસિક ન આવવું,Women's Health,Women's Health,Low,No,No,Yes,No,Absence of an expected menstrual period.,Draft - pending clinical review
S000185,Vaginal Discharge (Abnormal),असामान्य योनि स्राव,અસામાન્ય યોનિ સ્રાવ,Women's Health,Women's Health,Medium,No,No,Yes,No,"A change in color, smell, or amount of vaginal discharge that may indicate infection.",Draft - pending clinical review
S000186,Vaginal Itching,योनि में खुजली,યોનિમાં ખંજવાળ,Women's Health,Women's Health,Low,No,No,Yes,No,"Itching in the vaginal area, often from irritation or infection.",Draft - pending clinical review
S000187,Vaginal Bleeding Between Periods,मासिक धर्म के बीच रक्तस्राव,માસિક વચ્ચે રક્તસ્રાવ,Women's Health,Women's Health,Medium,No,No,Yes,No,Bleeding that occurs outside of the expected menstrual period.,Draft - pending clinical review
S000188,Pelvic Pain,पेल्विक क्षेत्र में दर्द,પેલ્વિક વિસ્તારમાં દુખાવો,Women's Health,Women's Health,Medium,No,No,Yes,Yes,"Pain in the lower abdomen or pelvis, with several possible causes.",Draft - pending clinical review
S000189,Breast Lump,स्तन में गांठ,સ્તનમાં ગાંઠ,Women's Health,Women's Health,Medium,No,No,Yes,Yes,A newly noticed lump or thickened area in the breast tissue that needs evaluation.,Draft - pending clinical review
S000190,Breast Pain,स्तन में दर्द,સ્તનમાં દુખાવો,Women's Health,Women's Health,Low,No,No,Yes,No,Discomfort or tenderness in one or both breasts.,Draft - pending clinical review
S000191,Nipple Discharge,निप्पल से स्राव,નિપલમાંથી સ્રાવ,Women's Health,Women's Health,Medium,No,No,Yes,No,Fluid coming from the nipple when not breastfeeding.,Draft - pending clinical review
S000192,Hot Flashes,गर्मी की अचानक लहर (हॉट फ्लैश),અચાનક ગરમીની લહેર,Women's Health,Women's Health,Low,No,No,No,Yes,"Sudden feelings of intense heat, often with sweating, common around menopause.",Draft - pending clinical review
S000193,Excessive Facial or Body Hair Growth,चेहरे या शरीर पर अत्यधिक बाल आना,ચહેરા કે શરીર પર વધુ પડતા વાળ આવવા,Women's Health,Women's Health,Low,No,No,Yes,No,"Unusual hair growth pattern, sometimes linked to hormonal conditions like PCOS.",Draft - pending clinical review
S000194,Lower Abdominal Pain in Pregnancy,गर्भावस्था में पेट के निचले हिस्से में दर्द,ગર્ભાવસ્થામાં પેટના નીચેના ભાગમાં દુખાવો,Women's Health,Women's Health,Medium,No,No,Yes,No,Abdominal pain during pregnancy that should be discussed with a doctor.,Draft - pending clinical review
S000195,Postmenopausal Bleeding,रजोनिवृत्ति के बाद रक्तस्राव,રજોનિવૃત્તિ પછી રક્તસ્રાવ,Women's Health,Women's Health,High,Yes,No,No,Yes,Any vaginal bleeding after menopause needs prompt medical evaluation.,Draft - pending clinical review
S000196,Painful Intercourse,संभोग के दौरान दर्द,સંભોગ દરમિયાન દુખાવો,Women's Health,Women's Health,Medium,No,No,Yes,No,Pain experienced during sexual intercourse.,Draft - pending clinical review
S000197,Severe Pelvic Pain with Fever,बुखार के साथ पेल्विक में तेज़ दर्द,તાવ સાથે પેલ્વિકમાં તીવ્ર દુખાવો,Women's Health,Women's Health,High,Yes,No,Yes,No,"Intense pelvic pain accompanied by fever, which needs urgent evaluation.",Draft - pending clinical review
S000198,Heavy Vaginal Bleeding with Dizziness (Emergency),चक्कर के साथ भारी योनि रक्तस्राव,ચક્કર સાથે ભારે યોનિ રક્તસ્રાવ,Women's Health,Women's Health,High,Yes,No,Yes,No,Very heavy vaginal bleeding accompanied by dizziness or weakness — needs emergency care.,Draft - pending clinical review
S000199,Pregnancy-related Headache with Swelling,गर्भावस्था में सिरदर्द के साथ सूजन,ગર્ભાવસ્થામાં માથાનો દુખાવો સાથે સોજો,Women's Health,Women's Health,High,Yes,No,Yes,No,Headache with swelling of the hands or face during pregnancy — a possible warning sign of pre-eclampsia.,Draft - pending clinical review
S000200,Testicular Pain,अंडकोष में दर्द,અંડકોષમાં દુખાવો,Men's Health,Men's Health,Medium,No,No,Yes,Yes,Pain in one or both testicles that should be medically evaluated.,Draft - pending clinical review
S000201,Sudden Severe Testicular Pain with Swelling,अंडकोष में अचानक तेज़ दर्द और सूजन,અંડકોષમાં અચાનક તીવ્ર દુખાવો અને સોજો,Men's Health,Men's Health,High,Yes,No,Yes,No,"Sudden, severe testicular pain with swelling can indicate torsion — a surgical emergency.",Draft - pending clinical review
S000202,Difficulty Urinating (Men),पेशाब करने में कठिनाई,પેશાબ કરવામાં તકલીફ,Men's Health,Men's Health,Medium,No,No,No,Yes,"Trouble starting or maintaining a urine stream, often related to prostate enlargement.",Draft - pending clinical review
S000203,Blood in Semen,वीर्य में खून आना,વીર્યમાં લોહી આવવું,Men's Health,Men's Health,Medium,No,No,Yes,Yes,"Blood noticed in the semen, which should be evaluated by a doctor.",Draft - pending clinical review
S000204,Groin Pain,कमर के जोड़ में दर्द,જાંઘના સાંધામાં દુખાવો,Men's Health,Men's Health,Medium,No,No,Yes,Yes,"Pain in the groin area, with causes ranging from muscle strain to hernia.",Draft - pending clinical review
S000205,Erectile Difficulty,स्तंभन दोष,ઉત્થાનની તકલીફ,Men's Health,Men's Health,Low,No,No,Yes,Yes,Difficulty achieving or maintaining an erection.,Draft - pending clinical review
S000206,Enlarged Prostate Symptoms (Frequent/Weak Urination),बढ़े हुए प्रोस्टेट के लक्षण,વધેલા પ્રોસ્ટેટના લક્ષણો,Men's Health,Men's Health,Medium,No,No,No,Yes,"Frequent or weak urination linked to an enlarged prostate gland, common in older men.",Draft - pending clinical review
S000207,Penile Discharge,लिंग से स्राव,શિશ્નમાંથી સ્રાવ,Men's Health,Men's Health,Medium,No,No,Yes,Yes,"Unusual discharge, which can indicate a sexually transmitted infection.",Draft - pending clinical review
S000208,Scrotal Swelling,अंडकोष की थैली में सूजन,અંડકોષની કોથળીમાં સોજો,Men's Health,Men's Health,Medium,No,No,Yes,Yes,"Swelling of the scrotum, which needs evaluation to determine the cause.",Draft - pending clinical review
S000209,Breast Enlargement in Men (Gynecomastia),पुरुषों में स्तन का बढ़ना,પુરુષોમાં સ્તન વધવું,Men's Health,Men's Health,Low,No,No,Yes,Yes,"Enlargement of breast tissue in men, often related to hormonal changes.",Draft - pending clinical review
S000210,Blurred Vision,धुंधला दिखना,અસ્પષ્ટ દેખાવું,Eye,Eye,Medium,No,Yes,Yes,Yes,Vision that lacks sharpness or clarity.,Draft - pending clinical review
S000211,Sudden Vision Loss (Eye),आंख से अचानक दिखना बंद होना,આંખથી અચાનક દેખાવાનું બંધ થવું,Eye,Eye,High,Yes,No,Yes,Yes,A sudden loss of vision in one or both eyes — a medical emergency requiring immediate evaluation.,Draft - pending clinical review
S000212,Eye Pain,आंख में दर्द,આંખમાં દુખાવો,Eye,Eye,Medium,No,Yes,Yes,Yes,Pain in or around the eye.,Draft - pending clinical review
S000213,Eye Redness,आंख का लाल होना,આંખ લાલ થવી,Eye,Eye,Low,No,Yes,Yes,Yes,"Redness of the white part of the eye, often from irritation or infection.",Draft - pending clinical review
S000214,Eye Discharge,आंख से पानी/चिपचिपा पदार्थ आना,આંખમાંથી પાણી/ચીકણો પદાર્થ નીકળવો,Eye,Eye,Low,No,Yes,Yes,Yes,"Fluid draining from the eye, often seen with conjunctivitis.",Draft - pending clinical review
S000215,Itchy Eyes,आंखों में खुजली,આંખોમાં ખંજવાળ,Eye,Eye,Low,No,Yes,Yes,Yes,"An itching sensation in or around the eyes, often from allergy.",Draft - pending clinical review
S000216,Double Vision,दोहरा दिखना,બેવડું દેખાવું,Eye,Eye,Medium,No,No,Yes,Yes,Seeing two images of a single object.,Draft - pending clinical review
S000217,Light Sensitivity,रोशनी सहन न होना,પ્રકાશ સહન ન થવો,Eye,Eye,Low,No,Yes,Yes,Yes,Discomfort in the eyes when exposed to light.,Draft - pending clinical review
S000218,Eye Swelling,आंख के आसपास सूजन,આંખની આસપાસ સોજો,Eye,Eye,Medium,No,Yes,Yes,Yes,Puffiness or swelling around the eye.,Draft - pending clinical review
S000219,Dry Eyes,आंखों में रूखापन,આંખોમાં શુષ્કતા,Eye,Eye,Low,No,No,Yes,Yes,A gritty or dry feeling in the eyes from reduced tear production.,Draft - pending clinical review
S000220,Excessive Tearing,आंखों से अधिक पानी आना,આંખોમાંથી વધુ પાણી આવવું,Eye,Eye,Low,No,Yes,Yes,Yes,"Tears that flow more than normal, which can have several causes.",Draft - pending clinical review
S000221,Floaters in Vision,आंखों के सामने धब्बे तैरते दिखना,આંખો સામે ટપકાં તરતાં દેખાવા,Eye,Eye,Low,No,No,No,Yes,Small specks or threads that seem to drift across the field of vision.,Draft - pending clinical review
S000222,Flashes of Light in Vision,आंखों में चमक जैसा दिखना,આંખોમાં ચમકારા દેખાવા,Eye,Eye,Medium,No,No,No,Yes,"Sudden flashes of light in the visual field, which can indicate a retinal problem.",Draft - pending clinical review
S000223,Sudden Severe Eye Pain with Vision Loss,आंख में अचानक तेज़ दर्द और दिखना बंद होना,આંખમાં અચાનક તીવ્ર દુખાવો અને દેખાવાનું બંધ થવું,Eye,Eye,High,Yes,No,Yes,Yes,Severe eye pain combined with vision loss is an emergency needing immediate care.,Draft - pending clinical review
S000224,Difficulty Seeing at Night,रात में देखने में कठिनाई,રાત્રે જોવામાં તકલીફ,Eye,Eye,Low,No,No,Yes,Yes,Reduced ability to see clearly in low light conditions.,Draft - pending clinical review
S000225,Excessive Thirst (Polydipsia),अत्यधिक प्यास (पॉलीडिप्सिया),વધુ પડતી તરસ,Endocrine,Endocrine,Medium,No,No,Yes,Yes,"Unusually strong or persistent thirst, often linked to blood sugar problems.",Draft - pending clinical review
S000226,Frequent Urination,बार-बार पेशाब आना,વારંવાર પેશાબ આવવો,Endocrine,Endocrine,Medium,No,No,Yes,Yes,"Urinating more often than usual, which can be related to diabetes or other conditions.",Draft - pending clinical review
S000227,Rapid Heartbeat (Thyroid-related),थायराइड से संबंधित तेज़ धड़कन,થાયરોઇડ સંબંધિત ઝડપી ધબકારા,Endocrine,Endocrine,Medium,No,No,Yes,Yes,A fast heartbeat that can accompany an overactive thyroid gland.,Draft - pending clinical review
S000228,Neck Swelling (Goiter),गर्दन में सूजन (गॉयटर),ગરદનમાં સોજો (ગોઇટર),Endocrine,Endocrine,Medium,No,No,Yes,Yes,Visible swelling at the front of the neck from an enlarged thyroid gland.,Draft - pending clinical review
S000229,Hair Thinning (Hormonal),बालों का पतला होना (हार्मोनल),વાળ પાતળા થવા (હોર્મોનલ),Endocrine,Endocrine,Low,No,No,Yes,Yes,"Hair becoming noticeably thinner, sometimes linked to thyroid or hormonal changes.",Draft - pending clinical review
S000230,Skin Darkening,त्वचा का काला पड़ना,ત્વચા કાળી પડવી,Endocrine,Endocrine,Low,No,No,Yes,Yes,"Patches of skin becoming darker than surrounding areas, sometimes linked to hormonal conditions.",Draft - pending clinical review
S000231,Excessive Hunger,अत्यधिक भूख लगना,વધુ પડતી ભૂખ લાગવી,Endocrine,Endocrine,Medium,No,No,Yes,Yes,"Unusually strong or frequent hunger, which can be linked to blood sugar imbalance.",Draft - pending clinical review
S000232,Slow Growth in Children (Hormonal),बच्चों में धीमी वृद्धि (हार्मोनल),બાળકોમાં ધીમી વૃદ્ધિ (હોર્મોનલ),Endocrine,Endocrine,Medium,No,Yes,No,No,"Growth that is slower than expected for a child's age, sometimes linked to hormone levels.",Draft - pending clinical review
S000233,"Low Blood Sugar Symptoms (Shakiness, Sweating, Confusion)",लो ब्लड शुगर के लक्षण,લો બ્લડ સુગરના લક્ષણો,Endocrine,Endocrine,High,Yes,No,Yes,Yes,"Shakiness, sweating, and confusion from a drop in blood sugar — needs prompt action.",Draft - pending clinical review
S000234,"High Blood Sugar Symptoms (Thirst, Blurred Vision, Fatigue)",हाई ब्लड शुगर के लक्षण,હાઈ બ્લડ સુગરના લક્ષણો,Endocrine,Endocrine,Medium,No,No,Yes,Yes,"Excess thirst, blurred vision, and fatigue that can indicate elevated blood sugar.",Draft - pending clinical review
S000235,"Diabetic Emergency Signs (Confusion, Fruity Breath)",डायबिटीज इमरजेंसी के लक्षण,ડાયાબિટીસ ઇમરજન્સીના લક્ષણો,Endocrine,Endocrine,High,Yes,No,Yes,Yes,Confusion combined with unusually fruity-smelling breath can signal a diabetic emergency requiring immediate care.,Draft - pending clinical review
S000236,Sudden Severe Weakness with Sweating (Hypoglycemia Emergency),अचानक गंभीर कमजोरी और पसीना (हाइपोग्लाइसीमिया),અચાનક ગંભીર નબળાઈ અને પરસેવો,Endocrine,Endocrine,High,Yes,No,Yes,Yes,A sudden combination of severe weakness and sweating can indicate dangerously low blood sugar.,Draft - pending clinical review
S000237,Painful Urination (Burning),पेशाब में जलन,પેશાબમાં બળતરા,Urinary,Urinary,Medium,No,Yes,Yes,Yes,"A burning or stinging sensation while urinating, often from a urinary tract infection.",Draft - pending clinical review
S000238,Blood in Urine,पेशाब में खून आना,પેશાબમાં લોહી આવવું,Urinary,Urinary,High,Yes,No,Yes,Yes,"Visible blood in the urine, which always needs medical evaluation.",Draft - pending clinical review
S000239,Difficulty Urinating,पेशाब करने में कठिनाई,પેશાબ કરવામાં તકલીફ,Urinary,Urinary,Medium,No,No,Yes,Yes,"Trouble starting, maintaining, or completing urination.",Draft - pending clinical review
S000240,Urinary Incontinence,पेशाब पर नियंत्रण न रहना,પેશાબ પર કાબૂ ન રહેવો,Urinary,Urinary,Medium,No,No,Yes,Yes,Involuntary leakage of urine.,Draft - pending clinical review
S000241,Cloudy or Foul-Smelling Urine,बदबूदार या गंदला पेशाब,દુર્ગંધયુક્ત કે ડહોળું પેશાબ,Urinary,Urinary,Low,No,Yes,Yes,Yes,"Urine that appears cloudy or has an unusual odor, often from infection.",Draft - pending clinical review
