disease_id,disease_name,disease_name_hi,disease_name_gu,category,category_icon,priority,icd_code,communicable,outbreak_prone,specialist,urgency,symptoms,medicines,tests,diet
INF003,Dengue Fever / Severe Dengue,डेंगू बुखार (Dengue Fever),ડેન્ગ્યુ તાવ (Dengue Fever),Infectious & Vector-Borne,,Very High,A90,True,True,Infectious Disease Specialist / Physician,Urgent Clinical Monitoring (Risk of Plasma Leak),"['Sudden high fever (104°F)', 'Severe retro-orbital eye pain', 'Severe joint and muscle pain (Breakbone fever)', 'Skin rash', 'Bleeding from gums/nose', 'Severe abdominal pain and persistent vomiting']","['Paracetamol 650mg ONLY (Strictly AVOID Aspirin/Ibuprofen/NSAIDs)', 'Oral Rehydration Salts (ORS)', 'IV Ringer Lactate fluids']","['Dengue NS1 Antigen (Day 1-5)', 'Dengue IgM/IgG Antibody (Day 5+)', 'Daily Complete Blood Count (CBC for Platelets & Hematocrit)']","Extensive oral fluids (coconut water, ORS, fresh fruit juices, pomegranate), light khichdi."
INF004,Malaria (P. vivax / P. falciparum),मलेरिया बुखार (Malaria),મેલેરિયા તાવ (Malaria),Infectious & Vector-Borne,,Very High,B54,True,True,Physician,Urgent Clinical Attention,"['High fever with intense shivering chills (Rigor)', 'Profuse sweating as fever drops', 'Severe headache and body ache', 'Nausea and vomiting', 'Anemia and mild jaundice']","['Artemether + Lumefantrine (ACT for Falciparum)', 'Chloroquine + Primaquine 14-day radical cure (for Vivax)']","['Rapid Diagnostic Test (RDT) Malaria Pf/Pv Antigen', 'Thick and Thin Blood Smear Giemsa Microscopy', 'CBC']","Adequate fluids, glucose water, high carbohydrate soft diet."
INF005,Typhoid / Enteric Fever,टाइफाइड / मियादी बुखार (Typhoid Fever),ટાઈફોઈડ તાવ (Typhoid),Infectious & Vector-Borne,,High,A01.0,True,True,General Physician,Urgent Clinical Attention,"['Step-ladder rising persistent high fever', 'Severe headache and weakness', 'Stomach pain and constipation/diarrhea', 'Coated tongue', 'Loss of appetite and rose spots']","['Azithromycin 500mg (Oral) OR Ceftriaxone 1g/2g IV', 'Paracetamol 650mg', 'Probiotics']","['Blood Culture (Gold standard in 1st week)', 'Widal Test (after Day 7-10)', 'TyphiDot IgM', 'Stool Culture']","Strict boiled water, soft bland diet (boiled rice, curd, boiled potatoes, soups); avoid spicy and raw food."
INF006,Cholera & Acute Watery Diarrhea,हैजा / कॉलरा (Cholera),કોલેરા (Cholera),Infectious & Vector-Borne,,High,A00.9,True,True,Emergency Physician / Infectious Diseases,Critical / Emergency Immediate Hospitalization,"[""Profuse painless watery 'rice-water' stools"", 'Rapid severe dehydration', 'Sunken eyes, dry mouth, skin tenting', 'Muscle cramps in legs', 'Rapid weak pulse and low BP']","['Aggressive WHO-ORS Solution', 'IV Ringer Lactate / Normal Saline', 'Doxycycline 300mg single dose OR Azithromycin 1g', 'Zinc Sulfate 20mg']","['Stool Hanging Drop Microscopy (Darting motility)', 'Stool Culture on TCBS Agar', 'Serum Electrolytes & Renal Function']","Continuous oral rehydration with WHO ORS, electrolyte fluids; boiled safe drinking water."
INF007,Chikungunya Fever,चिकनगुनिया बुखार (Chikungunya),ચિકનગુનિયા તાવ (Chikungunya),Infectious & Vector-Borne,,High,A92.0,True,True,Physician / Rheumatologist,Specialist Consultation,"['Sudden onset high fever', 'Severe crippling polyarthralgia / joint pain (wrists, ankles, knees)', 'Joint swelling', 'Maculopapular skin rash', 'Nausea and fatigue']","['Paracetamol 650mg', 'NSAIDs (once Dengue excluded)', 'Hydrochloroquine (for chronic arthritis)']","['Chikungunya IgM ELISA', 'RT-PCR (within first 5 days)', 'CBC and CRP']","Anti-inflammatory diet (turmeric milk, ginger, omega-3, adequate hydration), gentle joint mobilization."
INF014,Hepatitis B (Viral Hepatitis),हेपेटाइटिस बी (Hepatitis B),હેપેટાઇટિસ બી (Hepatitis B),Infectious & Vector-Borne,,Very High,B16.9,True,False,Hepatologist / Gastroenterologist,Specialist Consultation,"['Yellow skin and eyes (Jaundice)', 'Dark tea-colored urine', 'Pale clay-colored stools', 'Severe fatigue and nausea', 'Loss of appetite and right upper belly pain']","['Tenofovir Disoproxil (TDF) 300mg / Entecavir 0.5mg', 'Hepatoprotective agents']","['HBsAg (Surface Antigen)', 'HBV DNA Quantitative PCR (Viral Load)', 'HBeAg / Anti-HBe', 'Liver Function Test & FibroScan']","High carbohydrate, low fat, adequate protein, strictly zero alcohol."
INF015,Hepatitis C (Viral Hepatitis),हेपेटाइटिस सी (Hepatitis C),હેપેટાઇટિસ સી (Hepatitis C),Infectious & Vector-Borne,,Very High,B18.2,True,False,Hepatologist,Specialist Consultation,"['Chronic fatigue', 'Mild jaundice', 'Joint and muscle aches', 'Fluid accumulation in belly (if cirrhotic)']","['Sofosbuvir 400mg + Velpatasvir 100mg (12-week curative DAA regimen)', 'Ledipasvir (for Genotype 1)']","['Anti-HCV Antibody ELISA', 'HCV RNA Quantitative RT-PCR', 'HCV Genotype', 'LFT']","Healthy balanced diet, zero alcohol, avoid untested herbal supplements."
INF017,Japanese Encephalitis (JE),जापानी एन्सेफलाइटिस / दिमागी बुखार (Japanese Encephalitis),જાપાનીઝ એન્સેફાલીટીસ (JE),Infectious & Vector-Borne,,High,A83.0,True,True,Neurologist / Pediatric Intensivist,Critical / Emergency Immediate Hospitalization,"['Sudden high fever and intense headache', 'Neck stiffness and confusion', 'Seizures / convulsions', 'Altered sensorium and coma', 'Spastic paralysis']","['Intensive ICU supportive management', 'Mannitol (to reduce cerebral edema)', 'Anti-epileptics (Levetiracetam/Phenytoin)', 'IV Fluids & airway protection']","['JE-specific IgM Capture ELISA (CSF & Serum)', 'Lumbar Puncture (CSF Analysis)', 'Brain MRI']",Strict ICU tube feeding / total parenteral nutrition as indicated.
INF020,Kala-azar (Visceral Leishmaniasis),काला-अज़ार / लिशमैनियासिस (Kala-azar),કાલા-અઝાર (Kala-azar),Infectious & Vector-Borne,,High,B55.0,True,True,Infectious Disease Specialist / Physician,Urgent Clinical Attention (National Programme),"['Prolonged persistent fever with double daily rise', 'Massive enlargement of spleen (Splenomegaly) and liver', 'Darkening/pigmentation of facial skin (Kala-azar)', 'Severe anemia and weight loss (Wasting)']","['Liposomal Amphotericin B (Single dose 10mg/kg IV - First line NVBDCP)', 'Miltefosine 50mg']","['rK39 Rapid Immunochromatographic Dipstick Test', 'Bone Marrow / Splenic Aspiration (LD Bodies)', 'Complete Blood Count (Pancytopenia)']","High protein high calorie nutrition, iron and micronutrient supplementation."
REN001,Chronic Kidney Disease (CKD),क्रॉनिक किडनी रोग (Chronic Kidney Disease),ક્રોનિક કિડની ડિસીઝ (CKD),Kidney & Renal Diseases,,Very High,N18.9,False,False,Nephrologist,Specialist Consultation (Renal Management),"['Swelling around eyes (Periorbital edema) and feet', 'Decreased or foamy urine output', 'Chronic fatigue and pallor (Anemia)', 'Loss of appetite, metallic taste, nausea', 'High uncontrolled blood pressure', 'Persistent itchy skin (Uremic pruritus)']","['Erythropoietin (EPO) injections', 'Iron sucrose IV', 'Sodium Bicarbonate', 'Calcium Acetate / Sevelamer', 'Telmisartan / Dapagliflozin (in early stages)']","['Serum Creatinine & Blood Urea Nitrogen (BUN)', 'Estimated GFR (eGFR)', 'Urine Albumin-to-Creatinine Ratio (UACR)', 'Ultrasound Kidneys & Bladder (KUB)']","Strict low sodium, restricted protein (0.6-0.8g/kg), low potassium (avoid coconut water, banana, citrus), restricted phosphorus."
REN003,End-Stage Renal Disease (Kidney Failure),किडनी फेलियर / अंतिम चरण गुर्दे की बीमारी (Kidney Failure),કિડની ફેલિયર (Kidney Failure),Kidney & Renal Diseases,,Very High,N18.6,False,False,Nephrologist / Dialysis Unit,Critical / Urgent Dialysis Evaluation,"['Severe breathlessness (Fluid overload / pulmonary edema)', 'Marked oliguria/anuria (near zero urine)', 'Drowsiness, confusion, uremic encephalopathy', 'Severe intractable nausea and vomiting', 'Refractory high blood pressure']","['Hemodialysis / Peritoneal Dialysis', 'Diuretics (High dose loop diuretics)', 'Potassium binding resins (K-Bind)', 'Emergency Calcium Gluconate (if hyperkalemia)']","['Serum Electrolytes (Potassium - Urgent)', 'Arterial Blood Gas (ABG - Acidosis)', 'Serum Creatinine & Urea', 'ECG (Tall T waves)']","Strict fluid limit (< 1 liter total per 24 hours including all liquids), strict renal dialysis nutritional protocol."
REN005,Kidney Stones (Nephrolithiasis / Renal Calculi),किडनी की पथरी / गुर्दे की पथरी (Kidney Stones),કિડનીની પથરી (Kidney Stones),Kidney & Renal Diseases,,High,N20.0,False,False,Urologist,Urgent Clinical Attention (if severe obstruction),"['Severe sharp cramping pain in back and side (Renal colic)', 'Pain radiating to lower belly and groin', 'Blood in urine (Pink/red/brown urine)', 'Burning urination and frequent urge to urinate', 'Nausea and vomiting with pain']","['Tamsulosin 0.4mg (Alpha blocker for stone expulsion)', 'Potassium Citrate solution', 'Drotaverine + Aceclofenac (Pain relief)', 'Tramadol SOS']","['Non-Contrast CT KUB (Gold standard)', 'Ultrasound KUB', 'Urine Routine & Microscopy', 'Serum Calcium & Uric Acid']","High water intake (> 3 liters/day), lemon water (citrate), reduce animal protein, avoid high oxalate foods (spinach, chocolate, nuts)."
NEU001,Epilepsy & Seizure Disorders,मिर्गी / दौरे का रोग (Epilepsy),વાઈ / ખેંચ / એપીલેપ્સી (Epilepsy),Neurological Diseases,,High,G40.9,False,False,Neurologist,Urgent Clinical Attention (Emergency if Status Epilepticus),"['Uncontrollable jerking movements of arms and legs', 'Temporary loss of consciousness', 'Staring spells / blank staring', 'Tongue biting and urinary incontinence during seizure', 'Post-ictal confusion and sleepiness']","['Levetiracetam 500mg', 'Sodium Valproate 300mg/500mg', 'Carbamazepine 200mg', 'Midazolam Nasal Spray (Emergency rescue)']","['Electroencephalogram (EEG / Video EEG)', 'Brain MRI Epilepsy Protocol', 'Serum Calcium, Sodium, Blood Glucose']","Consistent meal and sleep schedule, ketogenic diet (in refractory childhood epilepsy), avoid flickering lights and sleep deprivation."
NEU002,Alzheimer's Disease & Dementia,अल्जाइमर रोग और डिमेंशिया (Alzheimer's Disease),અલ્ઝાઇમર રોગ અને ડિમેન્શિયા (Dementia),Neurological Diseases,,High,G30.9,False,False,Cognitive Neurologist / Geriatrician,Specialist Consultation,"['Progressive short-term memory loss (forgetting recent events)', 'Getting lost in familiar places / wandering', 'Difficulty performing daily familiar tasks', 'Language problems (struggling for words)', 'Mood swings and disorientation']","['Donepezil 5mg/10mg (Cholinesterase inhibitor)', 'Memantine 10mg/20mg', 'Rivastigmine Transdermal Patch']","['Mini-Mental State Examination (MMSE / MoCA)', 'Brain MRI (Hippocampal Volume / Atrophy)', 'Serum Vitamin B12, TSH, Folate']","MIND diet (Mediterranean-DASH intervention for neurodegenerative delay), berries, green leafy vegetables, cognitive puzzles."
NEU004,Parkinson's Disease,पार्किंसंस रोग (Parkinson's Disease),પાર્કિન્સન્સ રોગ (Parkinson's),Neurological Diseases,,High,G20,False,False,Movement Disorder Neurologist,Specialist Consultation,"['Resting tremor (Pill-rolling tremor in hands)', 'Muscle rigidity and stiffness', 'Slowness of movement (Bradykinesia)', 'Shuffling gait with loss of balance', 'Soft monotone voice and masked face']","['Levodopa + Carbidopa (Syndopa) 110mg/275mg', 'Pramipexole 0.5mg', 'Rasagiline 1mg', 'Trihexyphenidyl 2mg']","['Clinical Neurological Examination', 'Brain MRI (to rule out secondary parkinsonism)', 'DaTscan (where available)']","High fiber diet (to prevent constipation), separate protein intake from Levodopa dosing by 1 hour, daily physical balance therapy."
NEU005,Migraine Headache Disorder,माइग्रेन / आधासीसी का दर्द (Migraine),આધાશીશી / માઇગ્રેન (Migraine),Neurological Diseases,,High,G43.9,False,False,Neurologist,Specialist Consultation,"['Intense throbbing pulsing headache on one side', 'Sensitivity to light (Photophobia) and sound (Phonophobia)', 'Nausea and vomiting with headache', 'Visual aura (Flashing lights or blind spots before pain)', 'Pain aggravated by physical activity']","['Sumatriptan 50mg/100mg (Acute abortive)', 'Naproxen 500mg', 'Propranolol 40mg / Topiramate 25mg (Prophylaxis)', 'Domperidone (Anti-emetic)']","['Clinical Diagnosis according to ICHD-3 criteria', 'Brain MRI (if red flags or atypical features)']","Maintain regular sleep and meals, identify triggers (aged cheese, MSG, chocolate, caffeine withdrawal), magnesium-rich foods."
BLO001,Iron Deficiency Anemia,एनीमिया / खून की कमी (Iron Deficiency Anemia),એનિમિયા / લોહીની ઉણપ (Anemia),Blood Disorders,,Very High,D50.9,False,False,Physician / Hematologist,Moderate Attention,"['Extreme fatigue and weakness', 'Pale skin, tongue and conjunctiva', 'Shortness of breath on mild exertion', 'Brittle nails / spoon nails (Koilonychia)', 'Cravings for non-food items like chalk/ice (Pica)']","['Ferrous Ascorbate + Folic Acid Tablets', 'Injectable Ferric Carboxymaltose (FCM) IV', 'Vitamin C (to enhance absorption)']","['Complete Blood Count (Hemoglobin & MCV)', 'Serum Ferritin', 'Total Iron Binding Capacity (TIBC)', 'Peripheral Smear (Microcytic Hypochromic)']","Jaggery (Gur), pomegranate, spinach, beetroot, chickpeas, dates, green leafy vegetables, amla."
BLO003,Sickle Cell Disease,सिकल सेल एनीमिया (Sickle Cell Disease),સિકલ સેલ એનિમિયા (Sickle Cell),Blood Disorders,,Very High,D57.1,False,False,Hematologist,Urgent Clinical Attention (Crisis Care),"['Severe episodes of bone and chest pain (Vaso-occlusive crisis)', 'Chronic fatigue and jaundice', 'Swelling in hands and feet (Dactylitis)', 'Frequent infections', 'Delayed growth']","['Hydroxyurea 500mg', 'Folic Acid 5mg daily', 'Analgesics (Tramadol/Paracetamol for crisis)', 'Pneumococcal Vaccination']","['Hemoglobin Electrophoresis (HPLC)', 'Sickling Solubility Test', 'CBC with Reticulocyte Count']","High hydration (minimum 3-4 liters water daily), folic acid-rich foods, strictly avoid extreme cold, dehydration, and high altitudes."
BLO004,Thalassemia Major / Intermedia,थैलेसीमिया (Thalassemia Major),થેલેસેમિયા (Thalassemia),Blood Disorders,,High,D56.1,False,False,Hematologist / Transfusion Medicine,Specialist Consultation (Regular Transfusions),"['Severe pallor and fatigue appearing in early infancy', 'Enlarged spleen and liver (Hepatosplenomegaly)', 'Chipmunk facies (Prominent facial bones)', 'Dark urine and slow growth']","['Regular Leucodepleted Packed Red Blood Cell Transfusions', 'Iron Chelators (Deferasirox / Deferiprone)', 'Folic Acid']","['Hemoglobin HPLC (HbA2 & HbF quantification)', 'Serum Ferritin (Iron Overload Monitoring)', 'Genetic Mutation Analysis']","Strict low iron diet (avoid iron-rich tonics, red meat, iron-fortified cereals), high antioxidant nutrition, regular iron chelation."
LIV002,Liver Cirrhosis & Chronic Liver Failure,लिवर सिरोसिस / लिवर की बीमारी (Liver Cirrhosis),લિવર સિરોસિસ (Liver Cirrhosis),Liver & Digestive Diseases,,High,K74.6,False,False,Gastroenterologist / Hepatologist,Urgent Clinical Attention,"['Severe yellowing of eyes and skin (Jaundice)', 'Swelling of abdomen (Ascites)', 'Vomiting blood (Esophageal variceal bleeding)', 'Confusion and altered sleep cycle (Hepatic encephalopathy)', 'Easy bruising and bleeding']","['Lactulose Syrup (to clear ammonia)', 'Rifaximin 550mg', 'Spironolactone + Furosemide', 'Propranolol 20mg (to prevent variceal bleeding)']","['Liver Function Test (Bilirubin, Albumin, SGOT/SGPT)', 'Prothrombin Time / INR (Coagulation)', 'Upper GI Endoscopy', 'Abdominal Ultrasound / CT']","Strict zero alcohol, restricted sodium (< 2g/day), adequate high-quality plant/dairy protein, frequent small meals."
LIV008,Peptic Ulcer Disease & Acid Peptic Disorders,पेट का अल्सर / पेप्टिक अल्सर (Peptic Ulcer),જઠરનું અલ્સર (Peptic Ulcer),Liver & Digestive Diseases,,Medium,K27.9,False,False,Gastroenterologist,Specialist Consultation,"['Burning stomach pain between meals or at night', 'Feeling of fullness, bloating or belching', 'Heartburn and acid reflux', 'Nausea and intolerance to fatty foods']","['Pantoprazole / Rabeprazole 40mg (PPIs)', 'Sucralfate Suspension 1g', 'H. pylori Kit (Clarithromycin + Amoxicillin + PPI)']","['Upper GI Endoscopy (EGD)', 'H. pylori Stool Antigen / UBT', 'Complete Blood Count (to rule out occult bleeding)']","Avoid spicy, deeply fried and acidic foods, eliminate NSAIDs/painkillers, avoid tobacco and alcohol."
LIV009,Inflammatory Bowel Disease (Ulcerative Colitis / Crohn's),सूजन आंत्र रोग / अल्सरेटिव कोलाइटिस (IBD),આંતરડાનો સોજો / આઈબીડી (IBD),Liver & Digestive Diseases,,Medium,K51.9,False,False,Gastroenterologist,Specialist Consultation,"['Chronic bloody diarrhea with mucus', 'Severe abdominal cramps and pain', 'Urgent need to defecate (Tenesmus)', 'Weight loss and chronic fatigue', 'Fever and joint pains']","['Mesalamine (5-ASA) 1.2g/2.4g', 'Corticosteroids (Prednisolone for flares)', 'Azathioprine', 'Biologics (Infliximab / Vedolizumab)']","['Full Colonoscopy with Mucosal Biopsy', 'Fecal Calprotectin Test', 'CT / MRI Enterography', 'CBC, CRP, ESR']","Low FODMAP, low residue diet during active flare-ups; maintain adequate hydration and nutrient supplementation."
MEN001,Major Depressive Disorder (Clinical Depression),डिप्रेशन / गहरा अवसाद (Major Depression),ડિપ્રેશન / હતાશા (Clinical Depression),Mental Health,,Very High,F32.9,False,False,Psychiatrist / Clinical Psychologist,Urgent Psychiatric Attention (Critical if Suicidal Ideation),"['Persistent sadness, emptiness or hopelessness (> 2 weeks)', 'Loss of interest or pleasure in all activities (Anhedonia)', 'Insomnia or excessive sleeping', 'Severe fatigue and low energy', 'Feelings of worthlessness or guilt', 'Difficulty concentrating and recurrent suicidal thoughts']","['Escitalopram 10mg/20mg (SSRI)', 'Sertraline 50mg', 'Duloxetine 30mg', 'Cognitive Behavioral Therapy (CBT)']","['PHQ-9 Depression Severity Questionnaire', 'Thyroid Profile (TSH - to rule out hypothyroidism)', 'Serum Vitamin D & B12']","Nutrient-dense brain-healthy diet (omega-3 fatty acids, walnuts, seeds, bananas), regular exercise, supportive psychotherapy."
MEN002,Generalized Anxiety Disorder (GAD) & Panic Disorder,चिंता विकार और पैनिक अटैक (Anxiety & Panic Disorder),ચિંતા રોગ અને ગભરાટ (Anxiety Disorder),Mental Health,,Very High,F41.1,False,False,Psychiatrist / Psychologist,Specialist Consultation,"['Excessive persistent worry difficult to control', 'Restlessness and feeling on edge', 'Rapid heartbeat (Palpitations) and trembling', 'Sudden overwhelming fear of disaster/death (Panic attacks)', 'Muscle tension and sleep disturbance']","['Escitalopram / Paroxetine', 'Clonazepam 0.25mg (Short term SOS for panic)', 'Propranolol 10mg (for somatic palpitations)']","['GAD-7 Anxiety Scale Evaluation', 'ECG & Cardiac Evaluation (to rule out arrhythmias during panic attacks)']","Cut down caffeine, energy drinks, and alcohol; practice deep diaphragmatic breathing and mindfulness meditation."
BON001,Osteoarthritis (Degenerative Joint Disease),ऑस्टियोआर्थराइटिस / जोड़ों का घिसना (Osteoarthritis),સંધિવા / ઓસ્ટિઓઆર્થરાઇટિસ (Osteoarthritis),Bone & Joint Diseases,,High,M19.9,False,False,Orthopaedic Surgeon / Rheumatologist,Specialist Consultation,"['Deep aching joint pain worsening with use (knees, hips)', 'Morning joint stiffness lasting < 30 minutes', 'Grating or crackling sensation (Crepitus) during movement', 'Loss of joint flexibility and bone spurs']","['Paracetamol 650mg / Topical Diclofenac Gel', 'Glucosamine + Diacerein', 'Intra-articular Hyaluronic Acid / PRP injections', 'Total Knee Replacement (in severe Stage IV)']","['Weight-Bearing Standing X-Rays of Knees/Hips (Joint space narrowing)', 'Serum Uric Acid (to rule out gout)']","Weight reduction (reduces knee load by 4x body weight lost), anti-inflammatory foods (turmeric, omega-3, ginger), low-impact swimming/cycling."
BON002,Rheumatoid Arthritis (Autoimmune Arthritis),रूमेटाइड अर्थराइटिस / गठिया (Rheumatoid Arthritis),રૂમેટોઇડ આર્થરાઇટિસ (Gout / Arthritis),Bone & Joint Diseases,,High,M06.9,False,False,Rheumatologist,Specialist Consultation (Early DMARD Therapy),"['Symmetrical joint pain, warmth and swelling (wrists, fingers)', 'Prolonged morning stiffness lasting > 1 hour', 'Joint deformities (Swan-neck, Boutonniere)', 'Fatigue, low-grade fever and rheumatoid nodules']","['Methotrexate 15mg weekly + Folic Acid', 'Hydroxychloroquine 200mg', 'Sulfasalazine 1g', 'Biological DMARDs (Anti-TNF Adalimumab/Etanercept)']","['Rheumatoid Factor (RA Factor Titre)', 'Anti-CCP Antibodies (High specificity)', 'Serum CRP & ESR', 'Hand & Wrist Bilateral X-Rays']","Anti-inflammatory Mediterranean diet, zero refined sugars, gentle physical occupational therapy."
BON003,Osteoporosis & Bone Fragility,ऑस्टियोपोरोसिस / हड्डियों की कमजोरी (Osteoporosis),ઓસ્ટિયોપોરોસિસ (Osteoporosis),Bone & Joint Diseases,,High,M81.0,False,False,Endocrinologist / Orthopaedician,Specialist Consultation,"['Silent disease until fracture occurs', ""Loss of height over time and stooped posture (Kyphosis / Dowager's hump)"", 'Back pain caused by fractured/collapsed vertebra', 'Bone fractures from minor falls (hip, wrist, spine)']","['Zoledronic Acid 5mg IV yearly OR Alendronate 70mg weekly', 'Calcium Carbonate 500mg + Vitamin D3 60,000 IU', 'Teriparatide (PTH analogue)']","['DEXA Bone Mineral Density Scan (T-Score <= -2.5)', 'Serum Calcium, Phosphorus, Alkaline Phosphatase', 'Serum 25-OH Vitamin D3']","Calcium-rich dairy (milk, curd, paneer), sesame seeds (til), ragi, sunlight exposure for natural vitamin D, fall-prevention home modifications."
EYE001,Cataract (Senile / Traumatic),मोतियाबिंद (Cataract),મોતીબિંદુ / મોતિયો (Cataract),Eye Diseases,,Very High,H26.9,False,False,Ophthalmologist / Cataract Surgeon,Specialist Consultation (Elective Surgery),"['Cloudy, blurry or dim vision', 'Difficulty seeing at night', 'Sensitivity to light and glare / halos around lights', 'Fading or yellowing of colors', 'Frequent changes in eyeglass prescription']","['Phacoemulsification with Foldable Intraocular Lens (IOL) Implantation (Definitive Cure)', 'Post-operative Antibiotic-Steroid Eye Drops (Moxifloxacin + Prednisolone)']","['Slit Lamp Biomicroscopy', 'Visual Acuity Testing', 'Optical Biometry (IOL Master / A-Scan for lens power)']","Lutein and zeaxanthin rich leafy greens, vitamin C and E, UV protection sunglasses."
EYE002,Glaucoma (Open-Angle / Angle-Closure),काला मोतिया / ग्लूकोमा (Glaucoma),ઝામર / ગ્લુકોમા (Glaucoma),Eye Diseases,,High,H40.9,False,False,Glaucoma Specialist / Ophthalmologist,Urgent Clinical Attention (Emergency if Acute Angle Closure),"['Gradual loss of peripheral side vision (Tunnel vision)', 'Severe throbbing eye pain with headache and nausea (in Acute Glaucoma)', 'Seeing rainbow-colored halos around lights', 'Red eye and blurred vision']","['Latanoprost / Bimatoprost Eye Drops (Prostaglandin analogues)', 'Timolol 0.5% Eye Drops', 'Brimonidine Eye Drops', 'Oral Acetazolamide (Diamox) for acute pressure']","['Intraocular Pressure (IOP) Goldmann Applanation Tonometry', 'Visual Field Humphrey Perimetry', 'Optical Coherence Tomography (OCT RNFL)', 'Gonioscopy']","Strict lifelong compliance with daily pressure-lowering eye drops, avoid heavy weight lifting with breath holding."
EYE003,Diabetic Retinopathy,डायबिटिक रेटिनोपैथी (Diabetic Retinopathy),ડાયાબિટીક રેટિનોપેથી (Diabetic Retinopathy),Eye Diseases,,High,H36.0,False,False,Vitreoretinal Surgeon,Urgent Retinal Consultation,"['Spots or dark strings floating in vision (Floaters)', 'Blurred, fluctuating or distorted vision', 'Impaired color vision', 'Dark or empty areas in vision / sudden vision loss (Vitreous hemorrhage)']","['Intravitreal Anti-VEGF Injections (Ranibizumab / Aflibercept)', 'Retinal Pan-Retinal Photocoagulation (PRP Laser)', 'Vitrectomy Surgery']","['Dilated Fundus Examination', 'Fundus Fluorescein Angiography (FFA)', 'Macular Optical Coherence Tomography (OCT)']","Strict blood sugar and HbA1c control (< 7.0%), tight blood pressure and lipid control, annual mandatory retinal screening for all diabetics."
ORL001,Dental Caries & Tooth Decay,दांतों में कीड़ा / कैविटी (Dental Caries),દાંતનો સડો / કેવિટી (Dental Caries),Oral Health,,Very High,K02.9,False,False,Dental Surgeon / Endodontist,Dental Consultation,"['Toothache and spontaneous pain without cause', 'Tooth sensitivity to sweet, hot or cold food/drinks', 'Visible holes or pits in teeth', 'Brown, black or white staining on tooth surface']","['Fluoride Varnish / Toothpaste', 'Dental Composite Restorations / Root Canal Treatment (RCT)', 'Amoxicillin + Clavulanate (if periapical abscess)', 'Ibuprofen / Paracetamol for pain']","['Dental Clinical Examination with Explorer Probe', 'Intraoral Periapical (IOPA) X-Rays / OPG Panoramic X-Ray']","Cut down sticky sugary snacks, brush twice daily with fluoridated toothpaste, floss daily, rinse mouth after every meal."
ORL002,Periodontal Disease (Gingivitis & Periodontitis),पायरिया / मसूड़ों की बीमारी (Periodontitis),પાયોરિયા / પેઢાનો સોજો (Periodontal Disease),Oral Health,,High,K05.6,False,False,Periodontist,Dental Consultation,"['Swollen, tender, dusky red gums', 'Gums that bleed easily when brushing or flossing', 'Persistent bad breath (Halitosis)', 'Receding gumline making teeth look longer', 'Loose teeth and pus between teeth and gums']","['Chlorhexidine 0.2% Antiseptic Mouthwash', 'Professional Ultrasonic Scaling & Root Planing', 'Doxycycline / Metronidazole (if aggressive)']","['Periodontal Probing Depth (PPD) Measurement', 'Full Mouth Dental Radiographs']","Vitamin C rich citrus fruits, crisp raw vegetables, avoid smoking and gutkha chewing."
MAT001,Maternal Anemia in Pregnancy,गर्भावस्था में एनीमिया (Maternal Anemia),ગર્ભાવસ્થામાં એનિમિયા (Maternal Anemia),Maternal Health,,Very High,O99.0,False,False,Obstetrician & Gynaecologist,Urgent Antenatal Care,"['Hemoglobin < 11 g/dL in pregnancy', 'Severe exhaustion, weakness and dizziness', 'Shortness of breath on walking', 'Palpitations and swollen feet', 'Risk of preterm delivery and low birth weight']","['Iron & Folic Acid (IFA) Tablets (100mg elemental iron + 500mcg folic acid daily)', 'Injectable Ferric Carboxymaltose (FCM) IV (for moderate-severe anemia)']","['Serial Hemoglobin Testing at each ANC visit', 'Complete Blood Count', 'Serum Ferritin']","Green leafy vegetables, jaggery, drumstick leaves, pomegranate, pulses, meat/eggs under PMSMA antenatal program."
MAT002,Pre-eclampsia & Eclampsia,प्री-एक्लेम्पसिया / गर्भावस्था में उच्च रक्तचाप (Pre-eclampsia),પ્રિ-એક્લેમ્પસિયા (Pre-eclampsia),Maternal Health,,Very High,O14.9,False,False,High-Risk Obstetrician,Critical / Emergency Immediate Hospitalization,"['New onset high blood pressure (BP >= 140/90 mmHg after 20 weeks)', 'Severe persistent frontal headache', 'Visual disturbances (blurring, flashing lights)', 'Sudden severe swelling of face and hands', 'Severe pain in upper right abdomen (under ribs)', 'Convulsions/fits (in Eclampsia)']","['Magnesium Sulfate (Pritchard Regimen - Anticonvulsant of choice)', 'Labetalol 100mg/200mg / Nifedipine 10mg retard', 'Urgent delivery planning']","['Urine Protein Dipstick (Albuminuria >= 2+)', '24-Hour Urine Protein', 'Platelet Count & Liver Enzymes (to rule out HELLP syndrome)', 'Fetal Doppler Ultrasound']","Careful salt monitoring, high calcium and protein maternal nutrition, continuous medical monitoring."
