disease_id,disease_name,disease_name_hi,disease_name_gu,icd_code,category,description,body_system,source
D0103,Hemorrhoids (Piles),बवासीर (पाइल्स),હરસ-મસા (પાઈલ્સ),K64,Gastrointestinal,"Swollen veins in the lower rectum and anus causing discomfort, pain, and bleeding during bowel movements.",Gastrointestinal,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0104,Constipation (Functional),कब्ज,કબજિયાત,K59.0,Gastrointestinal,"Infrequent bowel movements or difficult passage of stools, commonly linked to low fiber intake and dehydration.",Gastrointestinal,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0105,Chronic Constipation with Anal Fissure,गुदा विदर (एनल फिशर),એનલ ફિશર,K60.2,Gastrointestinal,"A small tear in the thin mucosa that lines the anus, typically caused by passing hard or large stools.",Gastrointestinal,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0106,Gallstones (Cholelithiasis),पित्ताशय की पथरी,પિત્તાશયની પથરી,K80,Gastrointestinal / Hepatic,"Hardened deposits of digestive fluid that can form in the gallbladder, causing sudden biliary colic pain.",Gastrointestinal,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0107,Celiac Disease,सीलिएक रोग,સેલિયાક રોગ,K90.0,Autoimmune / Gastrointestinal,"An immune reaction to eating gluten (a protein found in wheat, barley, rye) that causes small intestine damage.",Gastrointestinal,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0108,Lactose Intolerance,लैक्टोज असहिष्णुता,લેક્ટોઝ અસહિષ્ણુતા,E73,Metabolic / Gastrointestinal,"An inability to fully digest the sugar (lactose) in dairy products, causing gas, bloating, and diarrhea.",Gastrointestinal,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0109,Ankylosing Spondylitis,एंकाइलोजिंग स्पॉन्डिलाइटिस,એન્કીલોઝિંગ સ્પોન્ડિલાઇટિસ,M45,Musculoskeletal / Autoimmune,"An inflammatory disease that over time can cause some of the small bones in the spine (vertebrae) to fuse.",Musculoskeletal,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0110,Carpal Tunnel Syndrome,कार्पल टनल सिंड्रोम,કાર્પલ ટનલ સિન્ડ્રોમ,G56.0,Neurology / Musculoskeletal,"Compression of the median nerve within the wrist, causing numbness, tingling, and weakness in the hand.",Neurology,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0111,Plantar Fasciitis,प्लांटर फैसीसाइटिस,પ્લાન્ટર ફેસીસાઇટિસ,M72.2,Musculoskeletal,"Inflammation of the thick band of tissue running across the bottom of the foot, causing sharp heel pain.",Musculoskeletal,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before alert/review)
D0112,Bell's Palsy,बेल्स पाल्सी (चेहरे का पक्षाघात),બેલ્સ પાલ્સી,G51.0,Neurology,"Sudden, temporary weakness or paralysis of the facial muscles on one side of the face due to facial nerve inflammation.",Neurology,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0113,Vertigo (BPPV / Benign Paroxysmal Positional Vertigo),चक्कर आना (वर्टिगो),ચક્કર આવવા (વર્ટિગો),H81.1,ENT / Neurology,"Inner ear disturbance causing brief episodes of mild to intense dizziness triggered by specific head movements.",ENT,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0114,Dry Eye Syndrome,शुष्क नेत्र सिंड्रोम (ड्राई आई),ડ્રાય આઇ સિન્ડ્રોમ,H04.1,Ophthalmology,"A condition occurring when tears are not able to provide adequate lubrication for the eyes.",Ophthalmology,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0115,Blepharitis,ब्लेफेराइटिस (पलकों की सूजन),બ્લેફેરિટિસ,H01.0,Ophthalmology,"Inflammation of the eyelids commonly involving the microscopic oil glands near the base of the eyelashes.",Ophthalmology,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0116,Acne Vulgaris,मुंहासे (पिंपल्स),ખીલ (ખીલના ડાઘ),L70.0,Dermatology,"A skin condition that occurs when hair follicles become plugged with oil and dead skin cells.",Dermatology,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0117,Urticaria (Hives),पित्ती (हाइव्स),શીળસ (હાઈવ્સ),L50,Dermatology / Immunology,"An outbreak of swollen, pale red bumps or plaques on the skin that appear suddenly and itch intensely.",Dermatology,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0118,Contact Dermatitis,संपर्क जिल्द की सूजन,સંપર્ક ત્વચાનો સોજો,L23,Dermatology / Immunology,"Red, itchy rash caused by direct contact with a substance or an allergic reaction to it.",Dermatology,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0119,Iron Overload (Hemochromatosis),हेमोक्रोमैटोसिस,હેમોક્રોમેટોસિસ,E83.1,Metabolic / Genetic,"A disorder causing the body to absorb too much iron from diet, leading to toxic buildup in organs.",Hematology / Metabolic,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0120,Varicose Veins,वेरिकोज वेन्स,વેરિકોઝ વેઇન્સ,I83,Cardiovascular,"Gnarled, enlarged veins most commonly appearing in the legs and feet due to weakened vein valves.",Cardiovascular,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0121,Peripheral Neuropathy,पेरिफेरल न्यूरोपैथी,પેરિફેરલ ન્યુરોપથી,G62.9,Neurology,"Damage to the peripheral nerves often causing weakness, numbness, and burning pain, frequently linked to diabetes.",Neurology,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0122,Gastroenteritis (Viral),वायरल गैस्ट्रोएंटेराइटिस (पेट का फ्लू),વાયરલ ગેસ્ટ્રોએન્ટેરાઇટિસ,A08.4,Infectious Diseases,"An intestinal infection marked by watery diarrhea, abdominal cramps, nausea or vomiting, and fever.",Gastrointestinal,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0123,Frozen Shoulder (Adhesive Capsulitis),कंधे की जकड़न (फ्रोजन शोल्डर),ફ્રોઝન શોલ્ડર,M75.0,Musculoskeletal,"Stiffness and pain in the shoulder joint that gradually worsens over time and restricts range of motion.",Musculoskeletal,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0124,Oral Aphthous Ulcers (Canker Sores),मुंह के छाले,મોંના ચાંદા,K12.0,Gastrointestinal / ENT,"Small, shallow lesions that develop on the soft tissues in your mouth or at the base of your gums.",Gastrointestinal,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0125,Chronic Pharyngitis,क्रोनिक ग्रसनीशोथ (गले में खराश),ક્રોનિક ફેરીન્જાઇટિસ,J37.0,ENT,"Persistent inflammation of the pharynx/throat causing scratchiness, irritation, and swallowing difficulty.",ENT,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
